ST_CASE,VEH_NO,DRIVER_IMPAIRMENT
371136,2,
371137,1,
371137,2,None/Apparently Normal
371138,1,None/Apparently Normal
371139,1,None/Apparently Normal
371139,2,"Under the Influence of Alcohol, Drugs or Medication"
371140,1,None/Apparently Normal
371141,1,None/Apparently Normal
371142,1,None/Apparently Normal
371143,1,None/Apparently Normal
371144,1,None/Apparently Normal
371145,1,
371146,1,None/Apparently Normal
371146,2,None/Apparently Normal
371146,3,None/Apparently Normal
371147,1,
371147,2,None/Apparently Normal
371148,1,"Under the Influence of Alcohol, Drugs or Medication"
371149,1,
371149,2,None/Apparently Normal
371150,1,None/Apparently Normal
371150,2,None/Apparently Normal
371152,1,None/Apparently Normal
371152,2,None/Apparently Normal
371152,3,None/Apparently Normal
371152,4,None/Apparently Normal
371153,1,None/Apparently Normal
371153,2,None/Apparently Normal
371154,1,None/Apparently Normal
371154,2,None/Apparently Normal
371155,1,None/Apparently Normal
371155,2,None/Apparently Normal
371157,1,None/Apparently Normal
371158,1,
371158,2,None/Apparently Normal
371159,1,None/Apparently Normal
371160,1,"Under the Influence of Alcohol, Drugs or Medication"
371161,1,None/Apparently Normal
371161,2,None/Apparently Normal
371162,1,"Under the Influence of Alcohol, Drugs or Medication"
371163,1,None/Apparently Normal
371163,2,None/Apparently Normal
371164,1,None/Apparently Normal
371164,2,None/Apparently Normal
371165,1,
371166,1,None/Apparently Normal
371167,1,None/Apparently Normal
371168,1,None/Apparently Normal
371168,2,None/Apparently Normal
371168,3,None/Apparently Normal
371169,1,"Under the Influence of Alcohol, Drugs or Medication"
371169,2,
371170,1,None/Apparently Normal
371171,1,None/Apparently Normal
371171,2,None/Apparently Normal
371172,1,"Under the Influence of Alcohol, Drugs or Medication"
371174,1,Asleep or Fatigued
371175,1,"Under the Influence of Alcohol, Drugs or Medication"
371175,2,None/Apparently Normal
371175,3,None/Apparently Normal
371175,4,None/Apparently Normal
371176,1,
371177,1,None/Apparently Normal
371177,2,None/Apparently Normal
371177,3,None/Apparently Normal
371178,1,"Under the Influence of Alcohol, Drugs or Medication"
371178,2,None/Apparently Normal
371180,1,
371181,1,
371182,1,
371182,2,"Under the Influence of Alcohol, Drugs or Medication"
371183,1,
371183,2,
371184,1,None/Apparently Normal
371184,2,None/Apparently Normal
371184,3,None/Apparently Normal
371185,1,
371186,1,None/Apparently Normal
371187,1,None/Apparently Normal
371187,2,"Under the Influence of Alcohol, Drugs or Medication"
371188,1,None/Apparently Normal
371189,1,None/Apparently Normal
371189,2,
371189,3,
371190,1,None/Apparently Normal
371191,1,None/Apparently Normal
371191,2,None/Apparently Normal
371191,3,None/Apparently Normal
371192,1,None/Apparently Normal
371193,1,None/Apparently Normal
371193,2,
371194,1,"Under the Influence of Alcohol, Drugs or Medication"
371195,1,
371196,1,None/Apparently Normal
371197,1,
371198,1,
371198,2,None/Apparently Normal
371199,1,None/Apparently Normal
371200,1,"Under the Influence of Alcohol, Drugs or Medication"
371201,1,
371202,1,None/Apparently Normal
371203,1,
371204,1,
371204,2,None/Apparently Normal
371205,1,None/Apparently Normal
371205,2,
371206,1,
371207,1,
371208,1,
371208,2,None/Apparently Normal
371209,1,None/Apparently Normal
371210,1,None/Apparently Normal
371211,1,
371212,1,
371212,2,None/Apparently Normal
371213,1,None/Apparently Normal
371214,1,None/Apparently Normal
371214,2,None/Apparently Normal
371215,1,
371215,2,None/Apparently Normal
371215,3,None/Apparently Normal
371216,1,None/Apparently Normal
371217,1,None/Apparently Normal
371217,2,None/Apparently Normal
371218,1,None/Apparently Normal
371219,1,None/Apparently Normal
371219,2,
371220,1,None/Apparently Normal
371220,2,None/Apparently Normal
371221,1,
371222,1,
371223,1,
371224,1,
371224,2,None/Apparently Normal
371225,1,
371226,1,None/Apparently Normal
371226,2,None/Apparently Normal
371227,1,None/Apparently Normal
371228,1,"Under the Influence of Alcohol, Drugs or Medication"
371229,1,
371230,1,None/Apparently Normal
371231,1,"Under the Influence of Alcohol, Drugs or Medication"
371231,2,None/Apparently Normal
371231,3,None/Apparently Normal
371232,1,None/Apparently Normal
371232,2,None/Apparently Normal
371233,1,None/Apparently Normal
371234,1,
371235,1,
371236,1,None/Apparently Normal
371238,1,
371239,1,None/Apparently Normal
371239,2,None/Apparently Normal
371239,3,None/Apparently Normal
371240,1,"Under the Influence of Alcohol, Drugs or Medication"
371240,2,None/Apparently Normal
371241,1,
371242,1,None/Apparently Normal
371242,2,None/Apparently Normal
371243,1,None/Apparently Normal
371243,2,None/Apparently Normal
371244,1,None/Apparently Normal
371244,2,None/Apparently Normal
371245,1,
371246,1,
371247,1,None/Apparently Normal
371247,2,None/Apparently Normal
371247,3,None/Apparently Normal
371248,1,None/Apparently Normal
371249,1,
371250,1,None/Apparently Normal
371250,2,None/Apparently Normal
371250,3,None/Apparently Normal
371250,4,None/Apparently Normal
371250,5,None/Apparently Normal
371250,6,None/Apparently Normal
371250,7,None/Apparently Normal
371250,8,None/Apparently Normal
371251,1,Physical Impairment - No Details
371251,2,None/Apparently Normal
371251,3,None/Apparently Normal
371251,4,None/Apparently Normal
371251,5,None/Apparently Normal
371251,6,None/Apparently Normal
371252,1,"Under the Influence of Alcohol, Drugs or Medication"
371253,1,
371254,1,None/Apparently Normal
371254,2,None/Apparently Normal
371255,1,None/Apparently Normal
371255,2,None/Apparently Normal
371256,1,None/Apparently Normal
371256,2,None/Apparently Normal
371257,1,None/Apparently Normal
371258,1,None/Apparently Normal
371258,2,None/Apparently Normal
371259,1,
371260,1,"Under the Influence of Alcohol, Drugs or Medication"
371261,1,None/Apparently Normal
371261,2,None/Apparently Normal
371262,1,None/Apparently Normal
371263,1,"Ill, Blackout"
371263,1,Asleep or Fatigued
371264,1,None/Apparently Normal
371264,2,None/Apparently Normal
371265,1,
371266,1,
371267,1,None/Apparently Normal
371268,1,None/Apparently Normal
371268,2,None/Apparently Normal
371269,1,"Under the Influence of Alcohol, Drugs or Medication"
371270,1,"Under the Influence of Alcohol, Drugs or Medication"
371271,1,None/Apparently Normal
371271,2,None/Apparently Normal
371272,1,
371273,1,None/Apparently Normal
371274,1,"Under the Influence of Alcohol, Drugs or Medication"
371275,1,
371276,1,
371277,1,None/Apparently Normal
371279,1,None/Apparently Normal
371279,2,None/Apparently Normal
371280,1,
371282,1,
371283,1,None/Apparently Normal
371283,2,None/Apparently Normal
371284,1,
371284,2,None/Apparently Normal
371285,1,"Under the Influence of Alcohol, Drugs or Medication"
371285,2,
371286,1,
371287,1,None/Apparently Normal
371288,1,"Under the Influence of Alcohol, Drugs or Medication"
371289,1,None/Apparently Normal
371289,2,None/Apparently Normal
371290,1,"Under the Influence of Alcohol, Drugs or Medication"
371290,2,None/Apparently Normal
371291,1,None/Apparently Normal
371292,1,"Under the Influence of Alcohol, Drugs or Medication"
371292,2,None/Apparently Normal
371293,1,
371293,2,None/Apparently Normal
371294,1,None/Apparently Normal
371295,1,None/Apparently Normal
371295,2,None/Apparently Normal
371296,1,None/Apparently Normal
371297,1,None/Apparently Normal
371298,1,None/Apparently Normal
371298,2,None/Apparently Normal
371299,1,
371299,2,None/Apparently Normal
371300,1,"Under the Influence of Alcohol, Drugs or Medication"
371301,1,None/Apparently Normal
371301,2,"Under the Influence of Alcohol, Drugs or Medication"
371302,1,None/Apparently Normal
371302,2,
371303,1,None/Apparently Normal
371304,1,None/Apparently Normal
371305,1,
371306,1,None/Apparently Normal
371307,1,None/Apparently Normal
371307,2,None/Apparently Normal
371307,3,None/Apparently Normal
371308,1,None/Apparently Normal
371309,1,None/Apparently Normal
371309,2,None/Apparently Normal
371310,1,None/Apparently Normal
371311,1,
371312,1,None/Apparently Normal
371313,1,
371314,1,"Under the Influence of Alcohol, Drugs or Medication"
371315,1,None/Apparently Normal
371316,1,None/Apparently Normal
371317,1,None/Apparently Normal
371317,2,
371318,1,
371319,1,None/Apparently Normal
371319,2,None/Apparently Normal
371320,1,None/Apparently Normal
371321,1,None/Apparently Normal
371321,2,
371322,1,
371322,2,None/Apparently Normal
371323,1,None/Apparently Normal
371324,1,None/Apparently Normal
371324,2,None/Apparently Normal
371325,1,
371325,2,None/Apparently Normal
371326,1,
371327,1,
371327,2,None/Apparently Normal
371328,1,
371328,2,
371329,1,None/Apparently Normal
371329,2,None/Apparently Normal
371330,1,
371330,2,None/Apparently Normal
371331,1,"Under the Influence of Alcohol, Drugs or Medication"
371332,1,
371333,1,"Under the Influence of Alcohol, Drugs or Medication"
371333,2,None/Apparently Normal
371333,3,None/Apparently Normal
371334,1,
371335,1,"Under the Influence of Alcohol, Drugs or Medication"
371335,2,None/Apparently Normal
371336,1,
371337,1,"Under the Influence of Alcohol, Drugs or Medication"
371338,1,None/Apparently Normal
371339,1,None/Apparently Normal
371339,2,None/Apparently Normal
371340,1,
371342,1,"Under the Influence of Alcohol, Drugs or Medication"
371343,1,None/Apparently Normal
371343,2,None/Apparently Normal
371344,1,"Under the Influence of Alcohol, Drugs or Medication"
371344,2,None/Apparently Normal
371345,1,
371346,1,Physical Impairment - No Details
371347,1,None/Apparently Normal
371348,1,None/Apparently Normal
371349,1,Physical Impairment - No Details
371350,1,None/Apparently Normal
371350,2,None/Apparently Normal
371350,3,None/Apparently Normal
371350,4,None/Apparently Normal
371351,1,None/Apparently Normal
371352,1,
371352,2,None/Apparently Normal
371353,1,
371354,1,None/Apparently Normal
371354,2,"Ill, Blackout"
371354,2,Asleep or Fatigued
371354,3,None/Apparently Normal
371355,1,None/Apparently Normal
371355,2,None/Apparently Normal
371356,1,None/Apparently Normal
371356,2,None/Apparently Normal
371357,1,Physical Impairment - No Details
371358,1,None/Apparently Normal
371359,1,None/Apparently Normal
371359,2,None/Apparently Normal
371361,1,None/Apparently Normal
371361,2,None/Apparently Normal
371362,1,None/Apparently Normal
371362,2,None/Apparently Normal
371363,1,"Under the Influence of Alcohol, Drugs or Medication"
371363,2,None/Apparently Normal
371364,1,None/Apparently Normal
371364,2,None/Apparently Normal
371365,1,"Under the Influence of Alcohol, Drugs or Medication"
371365,2,None/Apparently Normal
371365,3,None/Apparently Normal
371366,1,None/Apparently Normal
371367,1,
371367,2,None/Apparently Normal
371368,1,None/Apparently Normal
371368,2,
371369,1,None/Apparently Normal
371370,1,None/Apparently Normal
371371,1,
371371,2,None/Apparently Normal
371372,1,None/Apparently Normal
371373,1,
371374,1,None/Apparently Normal
371374,2,None/Apparently Normal
371375,1,"Under the Influence of Alcohol, Drugs or Medication"
371375,2,None/Apparently Normal
371376,1,None/Apparently Normal
371376,2,
371377,1,None/Apparently Normal
371378,1,
371378,2,None/Apparently Normal
371379,1,None/Apparently Normal
371380,1,None/Apparently Normal
371381,1,None/Apparently Normal
371382,1,None/Apparently Normal
371383,1,"Under the Influence of Alcohol, Drugs or Medication"
371384,1,
371385,1,Physical Impairment - No Details
371386,1,
371386,2,None/Apparently Normal
371387,1,
371388,1,
371388,2,None/Apparently Normal
371389,1,
371390,1,None/Apparently Normal
371391,1,
371391,2,None/Apparently Normal
371392,1,None/Apparently Normal
371393,1,"Under the Influence of Alcohol, Drugs or Medication"
371394,1,
371395,1,None/Apparently Normal
371396,1,
371397,1,None/Apparently Normal
371398,1,
371398,2,None/Apparently Normal
371399,1,
371399,2,None/Apparently Normal
371400,1,
371401,1,
371401,2,None/Apparently Normal
371402,1,"Under the Influence of Alcohol, Drugs or Medication"
371402,2,None/Apparently Normal
371403,1,None/Apparently Normal
371404,1,None/Apparently Normal
371405,1,"Under the Influence of Alcohol, Drugs or Medication"
371405,2,None/Apparently Normal
371406,1,
371407,1,None/Apparently Normal
371407,2,
371408,1,
371409,1,None/Apparently Normal
371410,1,"Under the Influence of Alcohol, Drugs or Medication"
371411,1,
371412,1,None/Apparently Normal
371412,2,None/Apparently Normal
371413,1,None/Apparently Normal
371414,1,None/Apparently Normal
371414,2,
371415,1,"Under the Influence of Alcohol, Drugs or Medication"
371416,1,
371417,1,"Under the Influence of Alcohol, Drugs or Medication"
371417,2,None/Apparently Normal
371418,1,None/Apparently Normal
371418,2,None/Apparently Normal
371419,1,
371420,1,None/Apparently Normal
371421,1,None/Apparently Normal
371422,1,None/Apparently Normal
371423,1,None/Apparently Normal
371423,2,None/Apparently Normal
371424,1,"Under the Influence of Alcohol, Drugs or Medication"
371424,2,None/Apparently Normal
371425,1,None/Apparently Normal
371427,1,None/Apparently Normal
371428,1,None/Apparently Normal
371429,1,None/Apparently Normal
371429,2,None/Apparently Normal
371430,1,None/Apparently Normal
371430,2,None/Apparently Normal
371431,1,
371431,2,
371432,1,"Under the Influence of Alcohol, Drugs or Medication"
371432,2,None/Apparently Normal
371433,1,
371434,1,
371434,2,
371435,1,
371436,1,
371437,1,None/Apparently Normal
371437,2,None/Apparently Normal
371438,1,None/Apparently Normal
371438,2,None/Apparently Normal
371439,1,
371439,2,None/Apparently Normal
371440,1,None/Apparently Normal
371441,1,None/Apparently Normal
371442,1,None/Apparently Normal
371443,1,
371444,1,
371445,1,
371446,1,
371446,2,None/Apparently Normal
371447,1,
371448,1,None/Apparently Normal
371449,1,
371450,1,
371450,2,None/Apparently Normal
371451,1,"Under the Influence of Alcohol, Drugs or Medication"
371452,1,None/Apparently Normal
371452,2,None/Apparently Normal
371453,1,Physical Impairment - No Details
371454,1,"Under the Influence of Alcohol, Drugs or Medication"
371454,2,None/Apparently Normal
371455,1,None/Apparently Normal
371455,2,None/Apparently Normal
371456,1,None/Apparently Normal
371457,1,
371458,1,None/Apparently Normal
371459,1,
371459,2,
371460,1,None/Apparently Normal
371460,2,
371461,1,None/Apparently Normal
371461,2,None/Apparently Normal
371462,1,"Under the Influence of Alcohol, Drugs or Medication"
371462,2,
371463,1,
371464,1,None/Apparently Normal
371465,1,None/Apparently Normal
371465,2,None/Apparently Normal
371466,1,None/Apparently Normal
371467,1,None/Apparently Normal
371467,2,None/Apparently Normal
371468,1,
371468,2,None/Apparently Normal
371468,3,None/Apparently Normal
371469,1,None/Apparently Normal
371470,1,None/Apparently Normal
371471,1,
371472,1,None/Apparently Normal
371473,1,Physical Impairment - No Details
371474,1,None/Apparently Normal
371474,2,None/Apparently Normal
371475,1,
371476,1,None/Apparently Normal
371477,1,None/Apparently Normal
371477,2,None/Apparently Normal
371478,1,
371479,1,
371480,1,None/Apparently Normal
371481,1,"Under the Influence of Alcohol, Drugs or Medication"
371481,2,None/Apparently Normal
371483,1,None/Apparently Normal
371483,2,None/Apparently Normal
371484,1,"Under the Influence of Alcohol, Drugs or Medication"
371484,2,None/Apparently Normal
371485,1,None/Apparently Normal
371487,1,
371487,2,
371487,3,None/Apparently Normal
371488,1,"Under the Influence of Alcohol, Drugs or Medication"
371490,1,None/Apparently Normal
371491,1,None/Apparently Normal
371492,1,None/Apparently Normal
371492,2,None/Apparently Normal
371493,1,None/Apparently Normal
371493,2,None/Apparently Normal
371493,3,None/Apparently Normal
371493,4,
371494,1,None/Apparently Normal
371495,1,None/Apparently Normal
371496,1,
371497,1,None/Apparently Normal
371498,1,None/Apparently Normal
371499,1,None/Apparently Normal
371500,1,
371500,2,
371501,1,"Under the Influence of Alcohol, Drugs or Medication"
371503,1,None/Apparently Normal
371504,1,None/Apparently Normal
371504,2,"Under the Influence of Alcohol, Drugs or Medication"
371504,3,None/Apparently Normal
371505,1,None/Apparently Normal
371505,2,
371506,1,None/Apparently Normal
371507,1,"Under the Influence of Alcohol, Drugs or Medication"
371507,2,None/Apparently Normal
371508,1,None/Apparently Normal
371508,2,
371509,1,"Under the Influence of Alcohol, Drugs or Medication"
371510,1,None/Apparently Normal
371511,1,"Under the Influence of Alcohol, Drugs or Medication"
371512,1,"Under the Influence of Alcohol, Drugs or Medication"
371513,1,None/Apparently Normal
371514,1,None/Apparently Normal
371514,2,None/Apparently Normal
371515,1,
371516,1,None/Apparently Normal
371516,2,None/Apparently Normal
371517,1,"Under the Influence of Alcohol, Drugs or Medication"
371517,2,None/Apparently Normal
371518,1,None/Apparently Normal
371518,2,None/Apparently Normal
371519,1,
371520,1,
371521,1,
371521,2,None/Apparently Normal
371522,1,None/Apparently Normal
371523,1,None/Apparently Normal
371524,1,None/Apparently Normal
371524,2,None/Apparently Normal
371525,1,Physical Impairment - No Details
371526,1,None/Apparently Normal
371526,2,None/Apparently Normal
371527,1,"Under the Influence of Alcohol, Drugs or Medication"
371528,1,None/Apparently Normal
371529,1,None/Apparently Normal
371530,1,None/Apparently Normal
371531,1,None/Apparently Normal
371531,2,None/Apparently Normal
371532,1,None/Apparently Normal
371533,1,None/Apparently Normal
371534,1,None/Apparently Normal
371534,2,None/Apparently Normal
371535,1,Physical Impairment - No Details
371535,2,None/Apparently Normal
371536,1,None/Apparently Normal
371537,1,None/Apparently Normal
371537,2,None/Apparently Normal
371538,1,
371539,1,
371540,1,None/Apparently Normal
371540,2,
371541,1,None/Apparently Normal
371541,2,None/Apparently Normal
371542,1,
371542,2,
371543,1,
371543,2,None/Apparently Normal
371544,1,
371545,1,
371546,1,
371546,2,
371546,3,
380001,1,None/Apparently Normal
380002,1,None/Apparently Normal
380002,2,None/Apparently Normal
380003,1,None/Apparently Normal
380004,1,None/Apparently Normal
380004,2,
380005,1,None/Apparently Normal
380005,2,
380006,1,None/Apparently Normal
380007,1,None/Apparently Normal
380008,1,
380008,2,None/Apparently Normal
380008,3,None/Apparently Normal
380009,1,None/Apparently Normal
380009,2,"Under the Influence of Alcohol, Drugs or Medication"
380010,1,
380010,2,None/Apparently Normal
380011,1,None/Apparently Normal
380011,2,None/Apparently Normal
380012,1,None/Apparently Normal
380012,2,
380013,1,None/Apparently Normal
380013,2,None/Apparently Normal
380014,1,
380014,2,
380014,3,None/Apparently Normal
380015,1,None/Apparently Normal
380015,2,None/Apparently Normal
380016,1,None/Apparently Normal
380016,2,None/Apparently Normal
380017,1,
380017,2,None/Apparently Normal
380018,1,
380019,1,
380019,2,None/Apparently Normal
380020,1,"Ill, Blackout"
380020,1,"Under the Influence of Alcohol, Drugs or Medication"
380021,1,
380022,1,None/Apparently Normal
380022,2,None/Apparently Normal
380023,1,
380023,2,
380024,1,None/Apparently Normal
380024,2,None/Apparently Normal
380025,1,None/Apparently Normal
380026,1,
380026,2,None/Apparently Normal
380027,1,"Under the Influence of Alcohol, Drugs or Medication"
380028,1,
380028,2,None/Apparently Normal
380029,1,Physical Impairment - No Details
380030,1,"Under the Influence of Alcohol, Drugs or Medication"
380031,1,None/Apparently Normal
380032,1,
380033,1,None/Apparently Normal
380034,1,None/Apparently Normal
380034,2,None/Apparently Normal
380035,1,
380036,1,
380037,1,
380037,2,
380039,1,None/Apparently Normal
380039,2,None/Apparently Normal
380040,1,None/Apparently Normal
380041,1,Asleep or Fatigued
380041,2,None/Apparently Normal
380042,1,"Under the Influence of Alcohol, Drugs or Medication"
380043,1,None/Apparently Normal
380044,1,
380045,1,
380046,1,None/Apparently Normal
380046,2,None/Apparently Normal
380047,1,"Emotional (depressed, angry, disturbed, etc.)"
380048,1,None/Apparently Normal
380048,2,None/Apparently Normal
380049,1,None/Apparently Normal
380049,2,Physical Impairment - No Details
380050,1,
380051,1,None/Apparently Normal
380052,1,None/Apparently Normal
380052,2,
380053,1,
380053,2,
380055,1,
380056,1,Physical Impairment - No Details
380057,1,
380058,1,
380058,2,None/Apparently Normal
380058,3,None/Apparently Normal
380059,1,Asleep or Fatigued
380059,2,None/Apparently Normal
380060,1,None/Apparently Normal
380060,2,None/Apparently Normal
380061,1,
380062,1,None/Apparently Normal
380062,2,None/Apparently Normal
380062,3,None/Apparently Normal
380063,1,"Emotional (depressed, angry, disturbed, etc.)"
380064,1,"Under the Influence of Alcohol, Drugs or Medication"
380065,1,None/Apparently Normal
380065,2,None/Apparently Normal
380066,1,None/Apparently Normal
380066,2,"Under the Influence of Alcohol, Drugs or Medication"
380067,1,
380067,2,None/Apparently Normal
380068,1,
380068,2,None/Apparently Normal
380069,1,Other Physical Impairment
380069,2,None/Apparently Normal
380070,1,
380070,2,None/Apparently Normal
380071,1,None/Apparently Normal
380071,2,None/Apparently Normal
380072,1,
380073,1,None/Apparently Normal
380073,2,None/Apparently Normal
380074,1,
380075,1,"Under the Influence of Alcohol, Drugs or Medication"
380076,1,None/Apparently Normal
380077,1,
380078,1,None/Apparently Normal
380078,2,None/Apparently Normal
380079,1,None/Apparently Normal
380079,2,
380080,1,
380080,2,None/Apparently Normal
380081,1,Asleep or Fatigued
380081,2,None/Apparently Normal
380082,1,"Under the Influence of Alcohol, Drugs or Medication"
380083,1,
380084,1,None/Apparently Normal
380084,2,None/Apparently Normal
380085,1,
380086,1,None/Apparently Normal
380086,2,
380087,1,
380088,1,"Under the Influence of Alcohol, Drugs or Medication"
380089,1,
380090,1,None/Apparently Normal
380090,2,None/Apparently Normal
380091,1,None/Apparently Normal
380091,2,None/Apparently Normal
380092,1,
380092,2,
380093,1,
380094,1,"Under the Influence of Alcohol, Drugs or Medication"
380095,1,None/Apparently Normal
380095,2,None/Apparently Normal
380096,1,None/Apparently Normal
380096,2,None/Apparently Normal
380096,3,None/Apparently Normal
380097,1,None/Apparently Normal
380097,2,None/Apparently Normal
380098,1,"Under the Influence of Alcohol, Drugs or Medication"
390001,1,
390002,1,
390003,1,Other Physical Impairment
390004,1,None/Apparently Normal
390004,2,None/Apparently Normal
390005,1,None/Apparently Normal
390005,2,None/Apparently Normal
390006,1,
390007,1,
390007,2,
390008,1,
390009,1,
390009,2,None/Apparently Normal
390010,1,
390010,2,None/Apparently Normal
390011,1,None/Apparently Normal
390012,1,
390013,1,None/Apparently Normal
390013,2,None/Apparently Normal
390014,1,
390014,2,None/Apparently Normal
390014,3,None/Apparently Normal
390015,1,
390016,1,None/Apparently Normal
390017,1,
390018,1,
390018,2,None/Apparently Normal
390019,1,
390020,1,
390021,1,
390022,1,
390023,1,
390024,1,
390024,2,None/Apparently Normal
390025,1,None/Apparently Normal
390026,1,None/Apparently Normal
390027,1,
390028,1,
390029,1,None/Apparently Normal
390029,2,None/Apparently Normal
390030,1,
390031,1,
390031,2,None/Apparently Normal
390032,1,None/Apparently Normal
390032,2,Asleep or Fatigued
390033,1,None/Apparently Normal
390033,2,None/Apparently Normal
390033,3,
390033,4,None/Apparently Normal
390034,1,None/Apparently Normal
390035,1,"Under the Influence of Alcohol, Drugs or Medication"
390037,1,
390038,1,None/Apparently Normal
390039,1,None/Apparently Normal
390039,2,None/Apparently Normal
390040,1,None/Apparently Normal
390041,1,
390042,1,
390043,1,None/Apparently Normal
390044,1,
390044,2,None/Apparently Normal
390045,1,None/Apparently Normal
390046,1,None/Apparently Normal
390046,2,"Under the Influence of Alcohol, Drugs or Medication"
390047,1,
390047,2,None/Apparently Normal
390047,3,None/Apparently Normal
390048,1,
390048,2,None/Apparently Normal
390048,3,None/Apparently Normal
390049,1,
390050,1,None/Apparently Normal
390051,1,
390052,1,
390053,1,"Under the Influence of Alcohol, Drugs or Medication"
390053,2,None/Apparently Normal
390054,1,"Under the Influence of Alcohol, Drugs or Medication"
390054,2,None/Apparently Normal
390055,1,None/Apparently Normal
390055,2,None/Apparently Normal
390056,1,Physical Impairment - No Details
390057,1,
390059,1,"Under the Influence of Alcohol, Drugs or Medication"
390060,1,None/Apparently Normal
390060,2,
390061,1,None/Apparently Normal
390061,2,None/Apparently Normal
390062,1,
390062,2,None/Apparently Normal
390063,1,None/Apparently Normal
390064,1,
390064,2,None/Apparently Normal
390065,1,
390066,1,
390066,2,None/Apparently Normal
390067,1,None/Apparently Normal
390068,1,
390068,2,"Under the Influence of Alcohol, Drugs or Medication"
390069,1,None/Apparently Normal
390070,1,
390071,1,
390072,1,"Under the Influence of Alcohol, Drugs or Medication"
390073,1,
390074,1,
390074,2,
390076,1,
390076,2,None/Apparently Normal
390076,3,None/Apparently Normal
390076,4,None/Apparently Normal
390076,5,None/Apparently Normal
390077,1,
390078,1,None/Apparently Normal
390078,2,None/Apparently Normal
390079,1,
390079,2,None/Apparently Normal
390079,3,None/Apparently Normal
390080,1,"Under the Influence of Alcohol, Drugs or Medication"
390081,1,
390081,2,None/Apparently Normal
390082,1,
390082,2,None/Apparently Normal
390083,1,None/Apparently Normal
390083,2,
390084,1,Asleep or Fatigued
390085,1,
390086,1,None/Apparently Normal
390086,2,"Under the Influence of Alcohol, Drugs or Medication"
390087,1,"Under the Influence of Alcohol, Drugs or Medication"
390087,2,None/Apparently Normal
390088,1,None/Apparently Normal
390089,1,"Under the Influence of Alcohol, Drugs or Medication"
390090,1,
390091,1,"Under the Influence of Alcohol, Drugs or Medication"
390092,1,"Under the Influence of Alcohol, Drugs or Medication"
390092,2,None/Apparently Normal
390094,1,None/Apparently Normal
390095,1,None/Apparently Normal
390095,2,
390096,1,None/Apparently Normal
390096,2,None/Apparently Normal
390097,1,"Under the Influence of Alcohol, Drugs or Medication"
390097,2,None/Apparently Normal
390098,1,
390099,1,"Under the Influence of Alcohol, Drugs or Medication"
390099,2,None/Apparently Normal
390101,1,
390103,1,
390104,1,
390104,2,None/Apparently Normal
390105,1,
390105,2,None/Apparently Normal
390106,1,
390107,1,
390108,1,
390109,1,
390110,1,"Under the Influence of Alcohol, Drugs or Medication"
390112,1,
390113,1,
390114,1,None/Apparently Normal
390115,1,None/Apparently Normal
390116,1,"Under the Influence of Alcohol, Drugs or Medication"
390117,1,
390119,1,None/Apparently Normal
390119,2,None/Apparently Normal
390120,1,None/Apparently Normal
390120,2,
390120,3,None/Apparently Normal
390121,1,
390122,1,None/Apparently Normal
390123,1,None/Apparently Normal
390123,2,None/Apparently Normal
390124,1,
390124,2,None/Apparently Normal
390126,1,
390127,1,None/Apparently Normal
390127,2,None/Apparently Normal
390128,1,
390128,2,None/Apparently Normal
390129,1,"Under the Influence of Alcohol, Drugs or Medication"
390130,1,
390130,2,
390131,1,
390131,2,None/Apparently Normal
390132,1,None/Apparently Normal
390132,2,None/Apparently Normal
390132,3,None/Apparently Normal
390133,1,
390133,2,None/Apparently Normal
390133,3,None/Apparently Normal
390134,1,
390134,2,None/Apparently Normal
390135,1,None/Apparently Normal
390135,2,None/Apparently Normal
390136,1,None/Apparently Normal
390136,2,
390137,1,None/Apparently Normal
390138,1,None/Apparently Normal
390138,2,None/Apparently Normal
390139,1,
390140,1,
390141,1,None/Apparently Normal
390141,2,None/Apparently Normal
390141,3,None/Apparently Normal
390142,1,None/Apparently Normal
390143,1,None/Apparently Normal
390144,1,Asleep or Fatigued
390145,1,None/Apparently Normal
390145,2,
390146,1,
390147,1,
390148,1,
390148,2,None/Apparently Normal
390149,1,None/Apparently Normal
390150,1,
390150,2,None/Apparently Normal
390151,1,
390151,2,
390151,3,
390151,4,
390151,5,
390153,1,
390154,1,None/Apparently Normal
390155,1,
390155,2,None/Apparently Normal
390157,1,None/Apparently Normal
390157,2,None/Apparently Normal
390158,1,
390159,1,
390160,1,
390161,1,"Under the Influence of Alcohol, Drugs or Medication"
390162,1,
390162,2,
390162,3,None/Apparently Normal
390163,1,
390164,1,None/Apparently Normal
390164,2,None/Apparently Normal
390165,1,Asleep or Fatigued
390166,1,
390166,2,None/Apparently Normal
390167,1,None/Apparently Normal
390167,2,None/Apparently Normal
390168,1,None/Apparently Normal
390168,2,None/Apparently Normal
390169,1,None/Apparently Normal
390169,2,
390170,1,
390170,2,
390171,1,
390172,1,None/Apparently Normal
390172,2,
390173,1,
390173,2,None/Apparently Normal
390174,1,
390175,1,
390176,1,None/Apparently Normal
390176,2,
390176,3,None/Apparently Normal
390177,1,None/Apparently Normal
390177,2,"Under the Influence of Alcohol, Drugs or Medication"
390177,3,None/Apparently Normal
390177,4,None/Apparently Normal
390178,1,
390179,1,"Under the Influence of Alcohol, Drugs or Medication"
390180,1,
390181,1,None/Apparently Normal
390181,2,None/Apparently Normal
390182,1,None/Apparently Normal
390182,2,None/Apparently Normal
